Parameter,Unit,Category,Weight,"Candidate A","Candidate B","Candidate C",Specialist-1,Specialist-2,Specialist-3,Specialist-4,Notes
Accuracy vs Ground Truth,RMSE/MAE,Performance,0.12,7.5,8.2,9.1,8.0,8.5,8.1,9.5,"Measured on 500-point labeled dataset; higher is better"
Latency,ms,Performance,0.10,120,85,55,8.0,7.8,8.5,9.0,"From phase 11 PoC; must be <100ms for main loop"
Throughput,ops/sec,Performance,0.08,5,12,25,7.0,7.2,7.5,7.8,"Frames/sec at 10Hz rate"
CPU Utilization,% of core,Performance,0.10,45,25,60,7.5,8.0,6.5,8.2,"Single-core peak; critical for 10Hz loop"
RAM Utilization,MB,Performance,0.08,85,120,200,8.5,8.0,8.0,7.5,"Memory footprint on Raspberry Pi class"
Power Consumption,W,Performance,0.09,0.8,1.2,2.1,8.0,7.5,8.5,9.0,"Estimated from compute profile"
Noise Robustness,dB SNR,Performance,0.08,15,22,28,7.0,8.0,9.0,8.5,"Tested with synthetic noise injection"
Tuning Difficulty,1-10 scale,Performance,0.07,4,6,8,8.0,7.5,6.5,7.0,"Effort to calibrate; lower is better"
Computational Complexity,O(n),Performance,0.08,O(n),O(n log n),O(n²),8.0,8.5,7.5,8.0,"Asymptotic analysis for scaling"
Run-to-Run Variance,%,Performance,0.07,3.2,5.1,2.8,8.5,8.0,8.2,7.8,"Stochastic methods lower scores"
Failure Mode Severity,1-10,Safety,0.10,3,5,2,8.5,9.0,8.0,8.5,"Critical=10; graceful=1"
Recovery Time,ms,Safety,0.08,200,500,100,8.0,7.0,8.5,9.0,"Time to resume after fault"
Real-Time Guarantees,Category,Safety,0.11,Hard,Soft,Hard,9.0,8.5,9.0,8.0,"Hard > Soft > None"
Thread Safety,1-10,Safety,0.10,9,7,9,9.0,8.5,9.0,8.0,"Concurrent access handling"
Memory Leak Risk,1-10,Safety,0.09,2,4,3,9.0,8.0,8.5,7.5,"Static analysis + runtime test"
GFCI/Electrical Impact,1-10,Safety,0.08,1,1,2,9.0,9.0,9.0,8.5,"Risk of ground faults; lower is better"
Hardware Dependencies,Count,Integration,0.06,2,3,4,8.0,7.5,7.0,7.5,"External sensors/ICs required"
Sensor Availability,1-10,Integration,0.07,9,8,7,8.5,8.0,7.5,7.0,"Stock availability; 10=always in stock"
